sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost
CTY-WAFFA,CTY-WAFFA,product,27181,27181,Kartri Courtyard Waffle Polyester Shower Curtain With Metal Grommets & Window 72x72 White 12 Per Case Price Per Each,CTY-WAFFA,31.9,,,,CTY-WAFFA,22,12,264
DK,DK,product,19879,19879,Kartri Duck Twill Shower Curtain With Metal Grommets 72x72 White or Beige 12 Per Case Price Per Each,DK,36.61,,,,DK,25.25,12,303
DY,DY,product,19860,19860,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,DY,21.61,,,,DY,14.9,12,178.8
E2Z-HB1-74-WSL,E2Z-HB1-74-WSL,product,27201,27201,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With Chrome Buckles 12 Per Case Price Per Each,E2Z-HB1-74-WSL,40.09,27.65,12,331.79999999999995,E2Z-HB1-74-WSL,27.65,12,331.79999999999995
E2Z-HB1-77-WSL,E2Z-HB1-77-WSL,product,27202,27202,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,E2Z-HB1-77-WSL,41.83,28.85,12,346.20000000000005,E2Z-HB1-77-WSL,28.85,12,346.20000000000005
E2Z-ML74-1WSLN,E2Z-ML74-1WSLN,product,27702,27702,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With White Buckles 12 Per Case Price Per Each,E2Z-ML74-1WSLN,35.96,24.8,12,297.6,E2Z-ML74-1WSLN,24.8,12,297.6
E2Z-ML77-1WSLN,E2Z-ML77-1WSLN,product,27207,27207,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With White Buckles 12 Per Case Price Per Each,E2Z-ML77-1WSLN,37.7,26,12,312,E2Z-ML77-1WSLN,26,12,312
EZ-150PA-1,EZ-150PA-1,product,23100,23100,Kartri Hang2It 150 Denier Polyester Liner 72x74 White 12 Per Case Price Per Each,EZ-150PA-1,19.14,13.2,12,158.39999999999998,EZ-150PA-1,13.2,12,158.39999999999998
EZ-300P77-1W,EZ-300P77-1W,product,27189,27189,Kartri Hang2It 300 Denier Polyester Liner With Window 72x77 White 12 Per Case Price Per Each,EZ-300P77-1W,23.49,16.2,12,194.39999999999998,EZ-300P77-1W,16.2,12,194.39999999999998
EZ-300PA-1,EZ-300PA-1,product,23102,23102,Kartri Hang2It 300 Denier Polyester Liner 72x74 White 12 Per Case Price Per Each,EZ-300PA-1,19.58,13.5,12,162,EZ-300PA-1,13.5,12,162
EZ-DUO74-1-WSL,EZ-DUO74-1-WSL,product,27699,27699,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DUO74-1-WSL,30.67,21.15,12,253.79999999999998,EZ-DUO74-1-WSL,21.15,12,253.79999999999998
EZ-DUO77-1-WSL,EZ-DUO77-1-WSL,variant,29870,29870,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DUO77-1-WSL,31.61,21.8,12,261.6,EZ-DUO77-1-WSL,21.8,12,261.6
EZ-DUO77-1C-WSL,EZ-DUO77-1C-WSL,variant,29870,29870,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DUO77-1C-WSL,40.16,27.7,12,332.4,EZ-DUO77-1C-WSL,27.7,12,332.4
EZ-DY74-1WSL,EZ-DY74-1WSL,product,30231,30231,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DY74-1WSL,30.16,20.8,12,249.60000000000002,EZ-DY74-1WSL,20.8,12,249.60000000000002
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,product,27195,27195,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-DYCHR77-1-WSLN,37.7,26,12,312,EZ-DYCHR77-1-WSLN,26,12,312
EZ-DYWB74-1,EZ-DYWB74-1,product,27191,27191,Kartri Hang2It Dynasty Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-DYWB74-1,20.88,14.4,12,172.8,EZ-DYWB74-1,14.4,12,172.8
EZ-DYWB74-1-W,EZ-DYWB74-1-W,product,27192,27192,Kartri Hang2It Dynasty Polyester Shower Curtain With Window 72x74 White 12 Per Case Price Per Each,EZ-DYWB74-1-W,23.06,15.9,12,190.8,EZ-DYWB74-1-W,15.9,12,190.8
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,product,27196,27196,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DYWB77-1-WSLN,31.9,22,12,264,EZ-DYWB77-1-WSLN,22,12,264
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,product,24390,24390,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-C-WSLN,45.68,31.5,12,378,EZ-EP74-1-C-WSLN,31.5,12,378
EZ-EP74-1-SLN,EZ-EP74-1-SLN,product,27197,27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,EZ-EP74-1-SLN,43.36,29.9,12,358.79999999999995,EZ-EP74-1-SLN,29.9,12,358.79999999999995
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,product,27199,27199,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-W-WSLN,39.73,27.4,12,328.79999999999995,EZ-EP74-1-W-WSLN,27.4,12,328.79999999999995
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,product,27200,27200,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-C-WSLN,47.42,32.7,12,392.40000000000003,EZ-EP77-1-C-WSLN,32.7,12,392.40000000000003
EZ-EP77-1-SLN,EZ-EP77-1-SLN,product,27198,27198,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-SLN,5.08,30.5,12,366,EZ-EP77-1-SLN,30.5,12,366
EZ-MORE77-1-W,EZ-MORE77-1-W,product,27705,27705,Kartri Hang2It Moire Polyester Shower Curtain With Window 72x77 White 12 Per Case Price Per Each,EZ-MORE77-1-W,22.69,15.65,12,187.8,EZ-MORE77-1-W,15.65,12,187.8
EZ-MOREA-1,EZ-MOREA-1,product,23098,23098,Kartri Hang2It Moire Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1,21.75,15,12,180,EZ-MOREA-1,15,12,180
EZ-MOREA-1-WSLN,EZ-MOREA-1-WSLN,product,30232,30232,Kartri Hang2It Moire Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1-WSLN,31.03,21.4,12,256.79999999999995,EZ-MOREA-1-WSLN,21.4,12,256.79999999999995
EZ-MS74-WW-1WSLN,EZ-MS74-WW-1WSLN,product,27205,27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,EZ-MS74-WW-1WSLN,42.05,29,12,348,EZ-MS74-WW-1WSLN,29,12,348
EZ-MS77-WW-1WSLN,EZ-MS77-WW-1WSLN,product,27206,27206,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-MS77-WW-1WSLN,42.92,29.6,12,355.20000000000005,EZ-MS77-WW-1WSLN,29.6,12,355.20000000000005
EZ-NYA-1,EZ-NYA-1,product,27706,27706,Kartri Hang2It Nylon Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-NYA-1,27.99,19.3,12,231.60000000000002,EZ-NYA-1,19.3,12,231.60000000000002
EZ-RL1-74,EZ-RL1-74,product,27226,27226,Kartri Hang2It Replacement Liners With Window 70x54 White or Beige 12 Per Case Price Per Each,EZ-RL1-74,10.73,7.4,12,88.80000000000001,EZ-RL1-74,7.4,12,88.80000000000001
EZ-RL1-77,EZ-RL1-77,product,27227,27227,Kartri Hang2It Replacement Liners With Window 70x57 White or Beige 12 Per Case Price Per Each,EZ-RL1-77,11.09,7.65,12,91.80000000000001,EZ-RL1-77,7.65,12,91.80000000000001
EZ-RL1-H74,EZ-RL1-H74,product,27229,27229,Kartri Hang2It Replacement Liners 70x69 White or Beige 12 Per Case Price Per Each,EZ-RL1-H74,12.54,8.65,12,103.80000000000001,EZ-RL1-H74,8.65,12,103.80000000000001
EZ-RL1-H77,EZ-RL1-H77,product,27230,27230,Kartri Hang2It Replacement Liners 70x72 White 12 Per Case Price Per Each,EZ-RL1-H77,12.69,8.75,12,105,EZ-RL1-H77,8.75,12,105
EZ-V8-1,EZ-V8-1,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-1,17.04,11.75,12,141,EZ-V8-1,11.75,12,141
EZ-V8-2,EZ-V8-2,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-2,17.04,11.75,12,141,EZ-V8-2,11.75,12,141
EZ-V87177-1,EZ-V87177-1,product,27717,27717,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x77 White 12 Per Case Price Per Each,EZ-V87177-1,18.13,12.5,12,150,EZ-V87177-1,12.5,12,150
EZ-VC77-1-WSLN,EZ-VC77-1-WSLN,product,27219,27219,Kartri Hang2It Vision Check Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-VC77-1-WSLN,53.51,36.9,12,442.79999999999995,EZ-VC77-1-WSLN,36.9,12,442.79999999999995
EZ-W-PD77-1,EZ-W-PD77-1,product,29871,29871,Kartri Hang2It Poly Dot Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-W-PD77-1,37.12,25.6,12,307.20000000000005,EZ-W-PD77-1,25.6,12,307.20000000000005
FFI-WAF1178,FFI-WAF1178,product,30234,30234,Kartri Luxor Diamond Waffle Polyester Shower Curtain With Metal Grommets & Window 72x78 White 12 Per Case Price Per Each,FFI-WAF1178,33.35,,,,FFI-WAF1178,23,12,276
FFI-WAF11A,FFI-WAF11A,product,27688,27688,Kartri Luxor Diamond Waffle Polyester Shower Curtain With Metal Grommets & Window 72x72 White 12 Per Case Price Per Each,FFI-WAF11A,31.9,,,,FFI-WAF11A,22,12,264
