sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,bc_sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price,bc_cost_price,bc_name
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,product,27199,27199,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-W-WSLN,39.73,27.4,12,328.79999999999995,EZ-EP74-1-W-WSLN,variant,110180,102961,476.76,328.8,
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,product,27200,27200,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-C-WSLN,47.42,32.7,12,392.40000000000003,EZ-EP77-1-C-WSLN,variant,110180,102960,569.04,392.4,
EZ-EP77-1-SLN,EZ-EP77-1-SLN,product,27198,27198,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-SLN,5.08,30.5,12,366,EZ-EP77-1-SLN,variant,110180,102958,60.96,366,
EZ-RL1-74,EZ-RL1-74,product,27226,27226,Kartri Hang2It Replacement Liners With Window 70x54 White or Beige 12 Per Case Price Per Each,EZ-RL1-74,10.73,7.4,12,88.80000000000001,EZ-RL1-74,variant,112521,105880,128.76,88.8,
EZ-RL1-77,EZ-RL1-77,product,27227,27227,Kartri Hang2It Replacement Liners With Window 70x57 White or Beige 12 Per Case Price Per Each,EZ-RL1-77,11.09,7.65,12,91.80000000000001,EZ-RL1-77,variant,112521,105881,133.08,91.8,
EZ-RL1-H74,EZ-RL1-H74,product,27229,27229,Kartri Hang2It Replacement Liners 70x69 White or Beige 12 Per Case Price Per Each,EZ-RL1-H74,12.54,8.65,12,103.80000000000001,EZ-RL1-H74,variant,112521,105884,150.48,103.8,
EZ-RL1-H77,EZ-RL1-H77,product,27230,27230,Kartri Hang2It Replacement Liners 70x72 White 12 Per Case Price Per Each,EZ-RL1-H77,12.69,8.75,12,105,EZ-RL1-H77,variant,112521,105885,152.28,105,
KA2000,KA2000,product,19940,19940,Kartri Chrome Pin Style Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA2000,2.32,1.6,,,KA2000,variant,110197,59233,18.48,13.2,
KA255,KA255,product,19943,19943,Kartri Large Chrome Pin Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA255,3.19,2.2,,,KA255,variant,110198,59234,10.64,7.6,
KA3000,KA3000,product,19939,19939,Kartri Plastic Double Open Ends Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA3000,2.61,1.8,,,KA3000,product,110196,,3.98,22,Kartri KA3000 Plastic Double Open End Shower Curtain Hooks - Pack of 12
KA412R,KA412R,product,19947,19947,Kartri Chrome Open Roller Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA412R,15.66,10.8,,,KA412R,variant,110201,59237,167.88,0,
KA5000,KA5000,product,19937,19937,Kartri Plastic Open End Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA5000,2.61,1.8,,,KA5000,product,110195,,30.24,21.6,KARTRI| PLASTIC| OPEN END| SHOWER CURTAIN HOOKS PACK OF 12
KA711,KA711,product,19936,19936,Kartri Plastic Snap Tear Drop Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA711,2.25,1.55,,,KA711,variant,110193,59228,26.04,18.6,
KA9100,KA9100,product,19938,19938,Kartri Plastic Round Side Slide Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA9100,2.61,1.8,,,KA9100,variant,110194,59229,30.24,21.6,
KASS151,KASS151,product,21577,21577,Kartri Stainless Steel Shower Curtain Hooks With 4 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS151,11.6,8,,,KASS151,variant,110199,59235,11.2,8,
KASS256,KASS256,product,21578,21578,Kartri Stainless Steel Shower Curtain Hooks With 5 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS256,12.76,8.8,,,KASS256,variant,110200,59236,12.32,8.8,
QIMPDDK,QIMPDDK,product,27172,27172,Kartri Quilted Double Diamond Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPDDK,63.44,43.75,6,262.5,QIMPDDK,variant,112466,105043,380.64,262.5,
QIMPDDQ,QIMPDDQ,product,27173,27173,Kartri Quilted Double Diamond Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDQ,57.13,39.4,8,315.2,QIMPDDQ,variant,112466,105042,457.04,315.2,
QIMPDDT,QIMPDDT,product,29873,29873,Kartri Quilted Double Diamond Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPDDT,48.43,33.4,10,334,QIMPDDT,variant,112466,105041,484.3,334,
SC,SC,product,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC,10.95,,,,SC,product,110169,,68,0,KARTRI| 8 GAUGE SAN CREPE| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
SL2940M,SL2940M,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940M,3.99,3.45,25,86.25,SL2940M,variant,110191,96257,99.75,86.25,
SL2940W,SL2940W,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940W,3.99,2.75,25,68.75,SL2940W,variant,110191,96256,99.75,68.75,
SL2941,SL2941,product,19958,19958,"Kartri 11"" Open Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941,2.83,1.95,25,48.75,SL2941,product,110191,,70.75,48.75,Kartri Bath Slippers | Pack Of 25 - ALL STYLES!
SL2941-1-CT,SL2941-1-CT,product,30243,30243,"Kartri 11"" Closed Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941-1-CT,2.9,2,25,50,SL2941-1-CT,variant,110191,96255,72.5,50,
SP-2,SP-2,product,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2,15.95,,,,SP-2,variant,110128,96152,226.8,162,
SPCNA,SPCNA,product,27176,27176,Kartri Dobbie Sparkle Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,SPCNA,15.23,,,,SPCNA,variant,110128,96150,226.8,162,
SV3C5MB-1,SV3C5MB-1,product,30244,30244,"Kartri 11"" Closed Toe Terry Velour Bath Slippers With EVA Sole In Carry Bag White 100 Pairs Per Case Price Per Each Pair",SV3C5MB-1,3.12,2.15,100,215,SV3C5MB-1,variant,110191,96258,312,215,
