sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
KA9100-1WHITE,KA9100-1 White,variant,19938,19938,Kartri Plastic Round Side Slide Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA9100-1 White,1.8,,,2.61,,In Stock,https://www.ahscompany.com/Kartri-Plastic-Round-Side-Slide-Shower-Curtain-Hooks-12-Dz-Per-Case-Price-Per-Dz_p_19938.html
KA9100-2BEIGE,KA9100-2 Beige,variant,19938,19938,Kartri Plastic Round Side Slide Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA9100-2 Beige,1.8,,,2.61,,In Stock,https://www.ahscompany.com/Kartri-Plastic-Round-Side-Slide-Shower-Curtain-Hooks-12-Dz-Per-Case-Price-Per-Dz_p_19938.html
KR,KR,product,19862,19862,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 72x72 White or Navy 12 Per Case Price Per Each,KR,,,,24.94,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Navy-12-Per-Case-Price-Per-Each_p_19862.html
KR-17NAVY,KR-17 Navy,variant,19862,19862,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 72x72 White or Navy 12 Per Case Price Per Each,KR-17 Navy,,,,24.94,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Navy-12-Per-Case-Price-Per-Each_p_19862.html
KR-1WHITE,KR-1 White,variant,19862,19862,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 72x72 White or Navy 12 Per Case Price Per Each,KR-1 White,,,,24.94,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Navy-12-Per-Case-Price-Per-Each_p_19862.html
KR-2,KR-2,product,30238,30238,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 36x72 White or Navy 24 Per Case Price Per Each,KR-2,,,,13.49,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Navy-24-Per-Case-Price-Per-Each_p_30238.html
KR-2-17NAVY,KR-2-17 Navy,variant,30238,30238,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 36x72 White or Navy 24 Per Case Price Per Each,KR-2-17 Navy,,,,13.49,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Navy-24-Per-Case-Price-Per-Each_p_30238.html
KR-2-1WHITE,KR-2-1 White,variant,30238,30238,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 36x72 White or Navy 24 Per Case Price Per Each,KR-2-1 White,,,,13.49,,In Stock,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Navy-24-Per-Case-Price-Per-Each_p_30238.html
ML-1,ML-1,product,19866,19866,Kartri Millennium Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,ML-1,,,,24.94,,In Stock,https://www.ahscompany.com/Kartri-Millennium-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-12-Per-Case-Price-Per-Each_p_19866.html
ML-1-36X72,ML-1-36x72,product,30239,30239,Kartri Millennium Polyester Shower Curtain With Sewn Eyelets 36x72 White 24 Per Case Price Per Each,ML-1-36x72,,,,14.94,,In Stock,https://www.ahscompany.com/Kartri-Millennium-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-24-Per-Case-Price-Per-Each_p_30239.html
