sku_norm,sku_raw,sheet_name,matrix_rows,name_color_rows,size_variants,sizes,case_pack_variants,case_packs,min_price_each,max_price_each,name_color_examples
SHLD,SHLD,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,23.55,39.25,"Shower Shield Snow-1, Cream-4, Shadow-11, Café-57, 
Blue Moon-7, Palm-59, Doeskin-60, Buff 61              
standard w/ sewn eyelets"
SM,SM,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,23.45,39.05,"Shower Mist Fog-78, Halo-79, Oatmeal-80 Scone-81
standard w/ sewn eyelets"
SN,SN,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,10.55,16.8,Satein Beige-2
SNW,SNW,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,10.25,17.1,"Satein Woven White-1, Beige-2"
SO,SO,Stocked,1,1,1,"72"" x 72""",1,12,,,"Sophia Dune-36, Pearl-46, Sand-51, Steel-83, Copen-86, Gull-87, Harvest-88, Linen-89, Cork-90, Iron-91, Surf-92, Forest-93                        
standard w/ sewn eyelets"
SP,SP,Stocked,8,2,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,11,18.3,"Dobbie White-1, Beige-2 || Dobbie Sparkle Blue-7, Jade-23, Bayberry-35"
SPCNA,SPCNA,Stocked,1,1,1,"72"" x 72""",1,12,10.5,10.5,Dobbie Sparkle White-1
SS,SS,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,4.8,8,"San Suede White-1, Beige-2, Blue-7, Green-8, Pink-9, 
Champagne-12, Navy-17"
ST,ST,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,4.25,7.05,See thru Polished Clear-12
SUC,SUC,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,14.15,23.6,"Laminated Fabric
Sure Chek White-1, Beige-2, Parchment-3, Blue-7, 
Green-8, Gray-11, Black-18, Blush-21, Jade-23, Frosty-24, Smoke-25, Fern-37    standard w/ metal grommets"
