sku_norm,sku_raw,price_each,case_pack,case_price_raw,sku_case_cost
MP36745-1,MP36745-1,13.05,20,261,261
MP36746-1,MP36746-1,13.05,20,261,261
MVT-1,MVT-1,1.5,1,,1.5
NOC-F-1,NOC-F-1,27.75,6,166.5,166.5
NOC-K-1,NOC-K-1,33.4,6,200.4,200.39999999999998
NOC-Q-1,NOC-Q-1,30,6,180,180
NOC-T-1,NOC-T-1,24.75,6,148.5,148.5
PRODUCTI,Product I,Price / EACH,1,,
PRODUCTID,Product ID,Price/PR,Case Pk,Case Price,
QIMPBD,QIMPBD,37.75,8,302,302
QIMPBK,QIMPBK,43.75,6,262.5,262.5
QIMPBPS,QIMPBPS,11.45,12,137.4,137.39999999999998
QIMPBQ,QIMPBQ,39.4,8,315.2,315.2
QIMPBT,QIMPBT,33.4,10,334,334
QIMPDDD,QIMPDDD,37.75,8,302,302
SHOWERRODS/SEATS,Shower Rods / Seats,,1,,
SIG-HD,SIG-HD,$3.50 EA / $84.00 CS,1,,
SPA-CP1313,SPA-CP1313,2.4,48,115.2,115.19999999999999
SPA-FIT32737,SPA-FIT32737,6.3,24,151.2,151.2
SPA-FL6394,SPA-FL6394,7.55,24,181.2,181.2
SPA-QB6090,SPA-QB6090,27.2,6,163.2,163.2
SPASHEETS/BLANKETS,Spa Sheets/Blankets,,1,,
TR2440-1,TR2440-1,10.05,1,,10.05
TR4272-1,TR4272-1,12.1,1,,12.1
URBWA-D,URBWA-D,26.3,6,157.8,157.8
URBWA-K,URBWA-K,31.9,6,191.4,191.39999999999998
URBWA-Q,URBWA-Q,27.85,6,167.1,167.10000000000002
URBWA-T,URBWA-T,23.6,6,141.6,141.60000000000002
VMC3G-FL-1,VMC3G-FL-1,5.2,12,62.4,62.400000000000006
VMC3G-K-1,VMC3G-K-1,7.15,12,85.8,85.80000000000001
VMC3G-Q-1,VMC3G-Q-1,5.85,12,70.2,70.19999999999999
WASU-D,WASU-D,26.3,6,157.8,157.8
WASU-K,WASU-K,31.9,6,191.4,191.39999999999998
WASU-Q,WASU-Q,27.85,6,167.1,167.10000000000002
WASU-T,WASU-T,23.6,6,141.6,141.60000000000002
WSBAG,WSBAG,$3.60 EA / $43.20 CS,1,,
