sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,product,27196,27196,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DYWB77-1-WSLN,31.9,22,12,264,EZ-DYWB77-1-WSLN,22,12,264
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,product,24390,24390,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-C-WSLN,45.68,31.5,12,378,EZ-EP74-1-C-WSLN,31.5,12,378
EZ-EP74-1-SLN,EZ-EP74-1-SLN,product,27197,27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,EZ-EP74-1-SLN,43.36,29.9,12,358.79999999999995,EZ-EP74-1-SLN,29.9,12,358.79999999999995
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,product,27199,27199,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-W-WSLN,39.73,27.4,12,328.79999999999995,EZ-EP74-1-W-WSLN,27.4,12,328.79999999999995
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,product,27200,27200,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-C-WSLN,47.42,32.7,12,392.40000000000003,EZ-EP77-1-C-WSLN,32.7,12,392.40000000000003
EZ-EP77-1-SLN,EZ-EP77-1-SLN,product,27198,27198,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-SLN,5.08,30.5,12,366,EZ-EP77-1-SLN,30.5,12,366
EZ-MORE77-1-W,EZ-MORE77-1-W,product,27705,27705,Kartri Hang2It Moire Polyester Shower Curtain With Window 72x77 White 12 Per Case Price Per Each,EZ-MORE77-1-W,22.69,15.65,12,187.8,EZ-MORE77-1-W,15.65,12,187.8
EZ-MOREA-1,EZ-MOREA-1,product,23098,23098,Kartri Hang2It Moire Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1,21.75,15,12,180,EZ-MOREA-1,15,12,180
EZ-MOREA-1-WSLN,EZ-MOREA-1-WSLN,product,30232,30232,Kartri Hang2It Moire Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1-WSLN,31.03,21.4,12,256.79999999999995,EZ-MOREA-1-WSLN,21.4,12,256.79999999999995
EZ-MS74-WW-1WSLN,EZ-MS74-WW-1WSLN,product,27205,27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,EZ-MS74-WW-1WSLN,42.05,29,12,348,EZ-MS74-WW-1WSLN,29,12,348
EZ-MS77-WW-1WSLN,EZ-MS77-WW-1WSLN,product,27206,27206,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-MS77-WW-1WSLN,42.92,29.6,12,355.20000000000005,EZ-MS77-WW-1WSLN,29.6,12,355.20000000000005
EZ-NYA-1,EZ-NYA-1,product,27706,27706,Kartri Hang2It Nylon Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-NYA-1,27.99,19.3,12,231.60000000000002,EZ-NYA-1,19.3,12,231.60000000000002
EZ-RL1-74,EZ-RL1-74,product,27226,27226,Kartri Hang2It Replacement Liners With Window 70x54 White or Beige 12 Per Case Price Per Each,EZ-RL1-74,10.73,7.4,12,88.80000000000001,EZ-RL1-74,7.4,12,88.80000000000001
EZ-RL1-77,EZ-RL1-77,product,27227,27227,Kartri Hang2It Replacement Liners With Window 70x57 White or Beige 12 Per Case Price Per Each,EZ-RL1-77,11.09,7.65,12,91.80000000000001,EZ-RL1-77,7.65,12,91.80000000000001
EZ-RL1-H74,EZ-RL1-H74,product,27229,27229,Kartri Hang2It Replacement Liners 70x69 White or Beige 12 Per Case Price Per Each,EZ-RL1-H74,12.54,8.65,12,103.80000000000001,EZ-RL1-H74,8.65,12,103.80000000000001
EZ-RL1-H77,EZ-RL1-H77,product,27230,27230,Kartri Hang2It Replacement Liners 70x72 White 12 Per Case Price Per Each,EZ-RL1-H77,12.69,8.75,12,105,EZ-RL1-H77,8.75,12,105
EZ-V8-1,EZ-V8-1,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-1,17.04,11.75,12,141,EZ-V8-1,11.75,12,141
EZ-V8-2,EZ-V8-2,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-2,17.04,11.75,12,141,EZ-V8-2,11.75,12,141
EZ-V87177-1,EZ-V87177-1,product,27717,27717,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x77 White 12 Per Case Price Per Each,EZ-V87177-1,18.13,12.5,12,150,EZ-V87177-1,12.5,12,150
EZ-VC77-1-WSLN,EZ-VC77-1-WSLN,product,27219,27219,Kartri Hang2It Vision Check Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-VC77-1-WSLN,53.51,36.9,12,442.79999999999995,EZ-VC77-1-WSLN,36.9,12,442.79999999999995
EZ-W-PD77-1,EZ-W-PD77-1,product,29871,29871,Kartri Hang2It Poly Dot Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-W-PD77-1,37.12,25.6,12,307.20000000000005,EZ-W-PD77-1,25.6,12,307.20000000000005
IMPNK,IMPNK,product,27692,27692,Kartri Impressions Nuage Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPNK,52.2,36,10,360,IMPNK,36,10,360
IMPNQ,IMPNQ,product,27693,27693,Kartri Impressions Nuage Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPNQ,46.47,32.05,10,320.5,IMPNQ,32.05,10,320.5
IMPNT,IMPNT,product,28101,28101,Kartri Impressions Nuage Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPNT,37.48,25.85,10,258.5,IMPNT,25.85,10,258.5
IMPSK,IMPSK,product,27166,27166,Kartri Impressions Santorini Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPSK,52.2,36,10,360,IMPSK,36,10,360
IMPSQ,IMPSQ,product,27167,27167,Kartri Impressions Santorini Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPSQ,46.47,32.05,10,320.5,IMPSQ,32.05,10,320.5
IMPST,IMPST,product,28102,28102,Kartri Impressions Santorini Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPST,37.48,25.85,10,258.5,IMPST,25.85,10,258.5
IMPWK,IMPWK,product,27168,27168,Kartri Impressions Wave Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPWK,52.2,36,10,360,IMPWK,36,10,360
IMPWQ,IMPWQ,product,27169,27169,Kartri Impressions Wave Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPWQ,46.47,32.05,10,320.5,IMPWQ,32.05,10,320.5
IMPWT,IMPWT,product,28103,28103,Kartri Impressions Wave Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPWT,37.48,25.85,10,258.5,IMPWT,25.85,10,258.5
KA2000,KA2000,product,19940,19940,Kartri Chrome Pin Style Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA2000,2.32,1.6,,,KA2000,1.6,1,1.6
KA255,KA255,product,19943,19943,Kartri Large Chrome Pin Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA255,3.19,2.2,,,KA255,2.2,1,2.2
KA3000,KA3000,product,19939,19939,Kartri Plastic Double Open Ends Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA3000,2.61,1.8,,,KA3000,1.8,1,1.8
KA412R,KA412R,product,19947,19947,Kartri Chrome Open Roller Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA412R,15.66,10.8,,,KA412R,10.8,1,10.8
KA5000,KA5000,product,19937,19937,Kartri Plastic Open End Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA5000,2.61,1.8,,,KA5000,1.8,1,1.8
KA711,KA711,product,19936,19936,Kartri Plastic Snap Tear Drop Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA711,2.25,1.55,,,KA711,1.55,1,1.55
KA9100,KA9100,product,19938,19938,Kartri Plastic Round Side Slide Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA9100,2.61,1.8,,,KA9100,1.8,1,1.8
KASS151,KASS151,product,21577,21577,Kartri Stainless Steel Shower Curtain Hooks With 4 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS151,11.6,8,,,KASS151,8,1,8
KASS256,KASS256,product,21578,21578,Kartri Stainless Steel Shower Curtain Hooks With 5 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS256,12.76,8.8,,,KASS256,8.8,1,8.8
MC-D,MC-D,product,30228,30228,Kartri Quilted Metro Coverlet Full 90x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-D,48.94,33.75,10,337.5,MC-D,33.75,10,337.5
MC-K,MC-K,product,27160,27160,Kartri Quilted Metro Coverlet King 112x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-K,56.84,39.2,10,392,MC-K,39.2,10,392
MC-Q,MC-Q,product,27161,27161,Kartri Quilted Metro Coverlet Queen 96x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-Q,50.97,35.15,10,351.5,MC-Q,35.15,10,351.5
NOC-F-1,NOC-F-1,product,28295,28295,Kartri Nocturne Blend Top Sheet Full 85x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-F-1,40.24,27.75,6,166.5,NOC-F-1,27.75,6,166.5
NOC-K-1,NOC-K-1,product,28297,28297,Kartri Nocturne Blend Top Sheet King 108x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-K-1,48.43,33.4,6,200.39999999999998,NOC-K-1,33.4,6,200.39999999999998
NOC-Q-1,NOC-Q-1,product,28296,28296,Kartri Nocturne Blend Top Sheet Queen 93x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-Q-1,43.5,30,6,180,NOC-Q-1,30,6,180
NOC-T-1,NOC-T-1,product,28294,28294,Kartri Nocturne Blend Top Sheet Twin 72x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-T-1,35.89,24.75,6,148.5,NOC-T-1,24.75,6,148.5
QIMPBD,QIMPBD,product,32674,32674,Kartri Quilted Breezes Coverlet Double 90x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPBD,54.74,37.75,8,302,QIMPBD,37.75,8,302
QIMPBK,QIMPBK,product,27170,27170,Kartri Quilted Breezes Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPBK,63.44,43.75,6,262.5,QIMPBK,43.75,6,262.5
QIMPBQ,QIMPBQ,product,27171,27171,Kartri Quilted Breezes Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPBQ,57.13,39.4,8,315.2,QIMPBQ,39.4,8,315.2
QIMPBT,QIMPBT,product,28104,28104,Kartri Quilted Breezes Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPBT,48.43,33.4,10,334,QIMPBT,33.4,10,334
QIMPDDD,QIMPDDD,product,32673,32673,Kartri Quilted Double Diamond Coverlet Double 90x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDD,54.74,37.75,8,302,QIMPDDD,37.75,8,302
QIMPDDK,QIMPDDK,product,27172,27172,Kartri Quilted Double Diamond Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPDDK,63.44,43.75,6,262.5,QIMPDDK,43.75,6,262.5
QIMPDDQ,QIMPDDQ,product,27173,27173,Kartri Quilted Double Diamond Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDQ,57.13,39.4,8,315.2,QIMPDDQ,39.4,8,315.2
QIMPDDT,QIMPDDT,product,29873,29873,Kartri Quilted Double Diamond Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPDDT,48.43,33.4,10,334,QIMPDDT,33.4,10,334
SL2940M,SL2940M,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940M,3.99,3.45,25,86.25,SL2940M,3.45,25,86.25
SL2940W,SL2940W,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940W,3.99,2.75,25,68.75,SL2940W,2.75,25,68.75
