option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
DY-C002-S36X72-PK24,DYC002S36X72PK24,DY,DY,Stocked,9,13,7,"36"" x 72""",24,8.95,214.79999999999998,"Dynasty White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
GKNA-C001-S72X72-PK12,GKNAC001S72X72PK12,G-KNA,G-KNA,Stocked,9,14,4,"72"" x 72""",12,12.2,146.39999999999998,Karlon (Green) Eco-friendly White-1,White,1,C001,base_sku + color + size + case_pack
KN-C001-S72X72-PK12,KNC001S72X72PK12,KN,KN,Stocked,9,15,4,"72"" x 72""",12,15.8,189.60000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",White,1,C001,base_sku + color + size + case_pack
KN-C002-S72X72-PK12,KNC002S72X72PK12,KN,KN,Stocked,9,15,4,"72"" x 72""",12,15.8,189.60000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Beige,2,C002,base_sku + color + size + case_pack
KN-C007-S72X72-PK12,KNC007S72X72PK12,KN,KN,Stocked,9,15,4,"72"" x 72""",12,15.8,189.60000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Blue,7,C007,base_sku + color + size + case_pack
KN-C011-S72X72-PK12,KNC011S72X72PK12,KN,KN,Stocked,9,15,4,"72"" x 72""",12,15.8,189.60000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Gray,11,C011,base_sku + color + size + case_pack
KN-C020-S72X72-PK12,KNC020S72X72PK12,KN,KN,Stocked,9,15,4,"72"" x 72""",12,15.8,189.60000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Dusk Rose,20,C020,base_sku + color + size + case_pack
KN-C001-S48X72-PK18,KNC001S48X72PK18,KN,KN,Stocked,9,15,5,"48"" x 72""",18,15.35,276.3,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",White,1,C001,base_sku + color + size + case_pack
KN-C002-S48X72-PK18,KNC002S48X72PK18,KN,KN,Stocked,9,15,5,"48"" x 72""",18,15.35,276.3,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Beige,2,C002,base_sku + color + size + case_pack
KN-C007-S48X72-PK18,KNC007S48X72PK18,KN,KN,Stocked,9,15,5,"48"" x 72""",18,15.35,276.3,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Blue,7,C007,base_sku + color + size + case_pack
