sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,case_qty,sku_unit_cost,ahs_unit_sales,ahs_case_sales,margin_case_price,target_vs_bc_pct,price_source,sale_price_status,sale_price_min_allowed,bc_price_old,bc_sale_price_old,bc_cost_old,new_price,new_bc_price,new_cost_price
CR570-36,CR570-36,variant,110188,106822,20,23.65,55.51,1110.2,700.04,0,margin_case_price_to_bc_price,not_requested,,700.04,662.2,473,1110.2,700.04,473
CR570-36SS,CR570-36SS,variant,110188,106823,20,23.65,55.51,1110.2,700.04,0,margin_case_price_to_bc_price,not_requested,,700.04,662.2,473,1110.2,700.04,473
CR570-60,CR570-60,variant,110188,106824,10,32.5,69.23,692.3,481,0,margin_case_price_to_bc_price,not_requested,,481,455,325,692.3,481,325
CR570-60SS,CR570-60SS,variant,110188,106825,10,32.5,69.23,692.3,481,0,margin_case_price_to_bc_price,not_requested,,481,455,325,692.3,481,325
CR570-72,CR570-72,variant,110188,106826,10,46,90.15,901.5,680.8,0,margin_case_price_to_bc_price,not_requested,,680.8,644,460,901.5,680.8,460
CR570-72SS,CR570-72SS,variant,110188,106827,10,46,90.15,901.5,680.8,0,margin_case_price_to_bc_price,not_requested,,680.8,644,460,901.5,680.8,460
CR570-84,CR570-84,variant,110188,106828,10,55.7,105.19,1051.9,824.36,0,margin_case_price_to_bc_price,not_requested,,824.36,779.8,557,1051.9,824.36,557
CR570-84SS,CR570-84SS,variant,110188,106829,10,55.7,105.19,1051.9,824.36,0,margin_case_price_to_bc_price,not_requested,,824.36,779.8,557,1051.9,824.36,557
CTY-WAFF78,CTY-WAFF78,variant,112419,95607,12,23,33.35,400.2,408.48,0,margin_case_price_to_bc_price,not_requested,,408.48,,276,400.2,408.48,276
CTY-WAFFA,CTY-WAFFA,variant,112419,95606,12,22,31.9,382.8,390.72,0,margin_case_price_to_bc_price,not_requested,,390.72,,264,382.8,390.72,264
DY,DY,variant,110133,59107,12,14.9,21.61,259.32,264.62,83.15,margin_case_price_to_bc_price,not_requested,,144.48,0,0,259.32,264.62,178.8
EZ-DY74-1WSL,EZ-DY74-1WSL,variant,111407,105872,12,20.8,30.16,361.92,369.41,0,margin_case_price_to_bc_price,not_requested,,369.41,361.92,249.6,361.92,369.41,249.6
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,variant,111407,105874,12,26,37.7,452.4,461.76,0,margin_case_price_to_bc_price,not_requested,,461.76,452.4,312,452.4,461.76,312
EZ-DYWB74-1,EZ-DYWB74-1,variant,111407,105870,12,14.4,20.88,250.56,255.74,0,margin_case_price_to_bc_price,not_requested,,255.74,250.56,172.8,250.56,255.74,172.8
EZ-DYWB74-1-W,EZ-DYWB74-1-W,variant,111407,105871,12,15.9,23.06,276.72,282.38,0,margin_case_price_to_bc_price,not_requested,,282.38,276.72,190.8,276.72,282.38,190.8
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,variant,111407,105873,12,22,31.9,382.8,390.72,0,margin_case_price_to_bc_price,not_requested,,390.72,382.8,264,382.8,390.72,264
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,variant,110180,106833,12,31.5,45.68,548.16,559.44,0,margin_case_price_to_bc_price,not_requested,,559.44,529.2,378,548.16,559.44,378
EZ-EP74-1-SLN,EZ-EP74-1-SLN,variant,110180,106830,12,29.9,43.36,520.32,531.02,0,margin_case_price_to_bc_price,not_requested,,531.02,502.32,358.8,520.32,531.02,358.8
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,variant,110180,106835,12,27.4,39.73,476.76,486.62,0,margin_case_price_to_bc_price,not_requested,,486.62,460.32,328.8,476.76,486.62,328.8
EZ-EP74-2-SLN,EZ-EP74-2-SLN,variant,110180,106832,12,29.9,,,531.02,0,margin_case_price_to_bc_price,not_requested,,531.02,502.32,358.8,,531.02,358.8
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,variant,110180,106834,12,32.7,47.42,569.04,580.75,0,margin_case_price_to_bc_price,not_requested,,580.75,549.36,392.4,569.04,580.75,392.4
EZ-EP77-1-SLN,EZ-EP77-1-SLN,variant,110180,106831,12,30.5,5.08,60.96,541.68,0,margin_case_price_to_bc_price,not_requested,,541.68,512.4,366,60.96,541.68,366
EZ-EP77-1-W-WSLN,EZ-EP77-1-W-WSLN,variant,110180,106836,12,28.6,,,507.94,0,margin_case_price_to_bc_price,not_requested,,507.94,480.48,343.2,,507.94,343.2
EZ-REPPD74-1,EZ-REPPD74-1,variant,112521,105878,12,10.7,,,190.03,0,margin_case_price_to_bc_price,not_requested,,190.03,,128.4,,190.03,128.4
EZ-REPPD77-1,EZ-REPPD77-1,variant,112521,105879,12,11.15,,,198.02,0,margin_case_price_to_bc_price,not_requested,,198.02,,133.8,,198.02,133.8
EZ-RL1-74,EZ-RL1-74,variant,112521,105880,12,7.4,10.73,128.76,131.42,0,margin_case_price_to_bc_price,not_requested,,131.42,128.76,88.8,128.76,131.42,88.8
EZ-RL1-77,EZ-RL1-77,variant,112521,105881,12,7.65,11.09,133.08,135.86,0,margin_case_price_to_bc_price,not_requested,,135.86,133.08,91.8,133.08,135.86,91.8
EZ-RL1-DW74,EZ-RL1-DW74,variant,112521,105876,12,8.2,,,145.63,0,margin_case_price_to_bc_price,not_requested,,145.63,,98.4,,145.63,98.4
EZ-RL1-DW80,EZ-RL1-DW80,variant,112521,105877,12,8.6,,,152.74,0,margin_case_price_to_bc_price,not_requested,,152.74,,103.2,,152.74,103.2
EZ-RL1-H74,EZ-RL1-H74,variant,112521,105884,12,8.65,12.54,150.48,153.62,0,margin_case_price_to_bc_price,not_requested,,153.62,150.48,103.8,150.48,153.62,103.8
EZ-RL1-H77,EZ-RL1-H77,variant,112521,105885,12,8.75,12.69,152.28,155.4,0,margin_case_price_to_bc_price,not_requested,,155.4,152.28,105,152.28,155.4,105
EZ-RL2-74,EZ-RL2-74,variant,112521,105882,12,7.4,,,131.42,0,margin_case_price_to_bc_price,not_requested,,131.42,,88.8,,131.42,88.8
EZ-RL2-77,EZ-RL2-77,variant,112521,105883,12,7.65,,,135.86,0,margin_case_price_to_bc_price,not_requested,,135.86,,91.8,,135.86,91.8
EZ-RL2-H74,EZ-RL2-H74,variant,112521,105886,12,8.65,,,153.62,0,margin_case_price_to_bc_price,not_requested,,153.62,,103.8,,153.62,103.8
EZ-V8-1,EZ-V8-1,variant,112436,95570,12,11.75,17.04,204.48,208.68,0,margin_case_price_to_bc_price,not_requested,,208.68,197.4,141,204.48,208.68,141
EZ-V8-2,EZ-V8-2,variant,112436,95571,12,11.75,17.04,204.48,208.68,0,margin_case_price_to_bc_price,not_requested,,208.68,197.4,141,204.48,208.68,141
EZ-V87177-1,EZ-V87177-1,variant,112436,95572,12,12.5,18.13,217.56,222,0,margin_case_price_to_bc_price,not_requested,,222,210,150,217.56,222,150
