sku_norm,sku_raw,price_each,case_pack,case_price_raw,sku_case_cost
SPA-CP1313,SPA-CP1313,2.4,48,115.19999999999999,115.19999999999999
SPA-FIT32737,SPA-FIT32737,6.3,24,151.2,151.2
SPA-FL6394,SPA-FL6394,7.55,24,181.2,181.2
SPA-QB6090,SPA-QB6090,27.2,6,163.2,163.2
SUC,SUC,23.6,12,,283.20000000000005
TR2440-1,TR2440-1,10.05,,,
TR4272-1,TR4272-1,12.1,,,
UR,UR,27.4,12,,328.79999999999995
VH,VH,CALL FOR QUOTE,,,
VINYLSHOWERCURTAINSLISTEDBELOWAREMANUFACTUREDWITHMETALGROMMETSINHEADING,Vinyl shower curtains listed below are manufactured with metal grommets in heading,,12,,
VMC3G-FL-1,VMC3G-FL-1,5.2,12,62.400000000000006,62.400000000000006
VMC3G-K-1,VMC3G-K-1,7.15,12,85.80000000000001,85.80000000000001
VMC3G-Q-1,VMC3G-Q-1,5.85,12,70.19999999999999,70.19999999999999
VTCNAA,VTCNAA,5.6,12,,67.19999999999999
WE,WE,25.2,12,,302.4
WS,WS,27.4,12,,328.79999999999995
WSBAG,WSBAG,$3.60 EA / $43.20 CS,12,,
