batch_number,cleanup_reason,review_target_spec,entity_type,entity_id,entity_name,entity_url,metafield_id,metafield_key,remote_value_state,active_publication_match_status,policy_block_reason,storefront_url,storefront_check_command
3,orphan_remote,product:110133:11209,product,110133,KARTRI| DYNASTY| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12,/kartri-dynasty-polyester-shower-curtain-w-sewn-eyelets-pack-of-12/,11209,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/kartri-dynasty-polyester-shower-curtain-w-sewn-eyelets-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/kartri-dynasty-polyester-shower-curtain-w-sewn-eyelets-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:110136:11319,product,110136,KARTRI| SUPREME WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12,/kartri-supreme-waffle-polyester-shower-curtain-w-metal-grommets-pack-of-12/,11319,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/kartri-supreme-waffle-polyester-shower-curtain-w-metal-grommets-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/kartri-supreme-waffle-polyester-shower-curtain-w-metal-grommets-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:110137:11320,product,110137,KARTRI| KATHRYN| FLAME RETARDANT POLY/AVORA BLEND| SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8,/kartri-kathryn-flame-retardant-poly-avora-blend-shower-curtain-w-sewn-eyelets-pack-of-8/,11320,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/kartri-kathryn-flame-retardant-poly-avora-blend-shower-curtain-w-sewn-eyelets-pack-of-8/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/kartri-kathryn-flame-retardant-poly-avora-blend-shower-curtain-w-sewn-eyelets-pack-of-8/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:110194:11210,product,110194,KARTRI| PLASTIC ROUND| SIDE SLIDE| SHOWER CURTAIN HOOKS PACK OF 12 DZ,/kartri-plastic-round-side-slide-shower-curtain-hooks-pack-of-12-dz/,11210,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/kartri-plastic-round-side-slide-shower-curtain-hooks-pack-of-12-dz/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/kartri-plastic-round-side-slide-shower-curtain-hooks-pack-of-12-dz/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:110195:11211,product,110195,KARTRI| PLASTIC| OPEN END| SHOWER CURTAIN HOOKS PACK OF 12,/kartri-plastic-open-end-shower-curtain-hooks-pack-of-12/,11211,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/kartri-plastic-open-end-shower-curtain-hooks-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/kartri-plastic-open-end-shower-curtain-hooks-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111116:11321,product,111116,1888 Mills Towels | Naked | 50/50% Modal / Combed Cotton,/1888-mills-towels-naked-50-50-modal-combed-cotton/,11321,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/1888-mills-towels-naked-50-50-modal-combed-cotton/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/1888-mills-towels-naked-50-50-modal-combed-cotton/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111143:11328,product,111143,Ganesh Mills | Hookless Shower Curtains | 71x74 | Pack of 12,/ganesh-mills-hookless-shower-curtains-71x74-pack-of-12/,11328,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/ganesh-mills-hookless-shower-curtains-71x74-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/ganesh-mills-hookless-shower-curtains-71x74-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111161:11324,product,111161,Oxford Imperial Towels by Ganesh Mills - All Sizes & Colors,/oxford-imperial-towels-by-ganesh-mills-all-sizes-colors/,11324,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/oxford-imperial-towels-by-ganesh-mills-all-sizes-colors/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/oxford-imperial-towels-by-ganesh-mills-all-sizes-colors/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111173:11322,product,111173,Oxford Viceroy Pool & Bath Towels,/oxford-viceroy-pool-bath-towels/,11322,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/oxford-viceroy-pool-bath-towels/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/oxford-viceroy-pool-bath-towels/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111358:11213,product,111358,Hookless | Plain Weave Shower Curtain - White & Beige,/hookless-plain-weave-shower-curtain-white-beige/,11213,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/hookless-plain-weave-shower-curtain-white-beige/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/hookless-plain-weave-shower-curtain-white-beige/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
